Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
5,Sarrià-Sant Gervasi,Camí Cement Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Major de Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Menor de Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Av Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",81074,22022.0350877193,48622
5,Sarrià-Sant Gervasi,Pare Miquel Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Camí Vell Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",81074,22022.0350877193,48622
5,Sarrià-Sant Gervasi,Pl S Vicenç Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Inst Químic Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",148201,25606.7755102041,102272
2,Eixample,Av Sarrià,"Garaje en Sarrià, Barcelona",14 m²,24.000 €,Si,None,None,None,None," Barcelona",266857,18867.7167630058,128137
2,Eixample,Pl Fort Pienc,"Garaje en Fort Pienc, Barcelona",11 m²,26.000 €,No,None,grande,automática,None," Barcelona",266857,18867.7167630058,128137
1,Ciutat Vella,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",106028,11517.7037037037,33685
2,Eixample,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",266857,18867.7167630058,128137
3,Sants-Montjuïc,Pg Sant Antoni,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",183770,14625.3931623932,79559
6,Gràcia,Trvs Sant Antoni,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",121915,18340.7471264368,57643
1,Ciutat Vella,Sant Antoni Abat,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",106028,11517.7037037037,33685
1,Ciutat Vella,Hostal Sant Antoni,"Garaje en Sant Antoni, Barcelona",6 m²,12.000 €,No,None,None,None,planta -1," Barcelona",106028,11517.7037037037,33685
5,Sarrià-Sant Gervasi,Trinquet,"Garaje en calle Trinquet, Sarrià, Barcelona",30 m²,56.000 €,Si,None,None,automática,None," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Sants,"Garaje en Sants, Barcelona",12 m²,17.000 €,No,None,None,None,planta -1," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",12 m²,17.000 €,No,None,None,None,planta -1," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",12 m²,17.000 €,No,None,None,None,planta -1," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",12 m²,17.000 €,No,None,None,None,planta -1," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",12 m²,17.000 €,No,None,None,None,planta -1," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",11 m²,15.000 €,No,None,pequeño,automática,primera planta," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",11 m²,15.000 €,No,None,pequeño,automática,primera planta," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",11 m²,15.000 €,No,None,pequeño,automática,primera planta," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",11 m²,15.000 €,No,None,pequeño,automática,primera planta," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",11 m²,15.000 €,No,None,pequeño,automática,primera planta," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",11 m²,19.500 €,No,None,mediano,None,planta -1," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",11 m²,19.500 €,No,None,mediano,None,planta -1," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",11 m²,19.500 €,No,None,mediano,None,planta -1," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",11 m²,19.500 €,No,None,mediano,None,planta -1," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",11 m²,19.500 €,No,None,mediano,None,planta -1," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",12 m²,24.000 €,No,None,mediano,None,planta -1," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",12 m²,24.000 €,No,None,mediano,None,planta -1," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",12 m²,24.000 €,No,None,mediano,None,planta -1," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",12 m²,24.000 €,No,None,mediano,None,planta -1," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",12 m²,24.000 €,No,None,mediano,None,planta -1," Barcelona",183770,14625.3931623932,79559
3,Sants-Montjuïc,Hostafrancs de Sió,"Garaje en Hostafrancs, Barcelona",10 m²,18.000 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
1,Ciutat Vella,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",106028,11517.7037037037,33685
2,Eixample,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",266857,18867.7167630058,128137
3,Sants-Montjuïc,Pg Sant Antoni,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",183770,14625.3931623932,79559
6,Gràcia,Trvs Sant Antoni,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",121915,18340.7471264368,57643
1,Ciutat Vella,Sant Antoni Abat,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",106028,11517.7037037037,33685
