Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
5,Sarrià-Sant Gervasi,Pl S Vicenç Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Inst Químic Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
2,Eixample,Av Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",266857,18867.7167630058,128137
4,Les Corts,Av Pedralbes,"Garaje en Pedralbes, Barcelona",8 m²,17.000 €,No,None,None,None,None," Barcelona",81074,22022.0350877193,48622
3,Sants-Montjuïc,Hostafrancs de Sió,"Garaje en Hostafrancs, Barcelona",11 m²,16.250 €,Si,None,None,None,None," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Teodora Lamadrid,"Garaje en calle Teodora Lamadrid, Sant Gervasi - La Bonanova, Barcelona",12 m²,19.000 €,No,None,mediano,automática,None," Barcelona",148201,25606.7755102041,102272
2,Eixample,Pl Fort Pienc,"Garaje en Fort Pienc, Barcelona",12 m²,27.000 €,No,None,grande,None,None," Barcelona",266857,18867.7167630058,128137
4,Les Corts,Sants,"Garaje en Sants, Barcelona",13 m²,18.500 €,No,None,None,None,None," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",13 m²,18.500 €,No,None,None,None,None," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",13 m²,18.500 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",13 m²,18.500 €,No,None,None,None,None," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",13 m²,18.500 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Pg Manuel Girona,"Garaje en calle Girona, La Dreta de l'Eixample, Barcelona",11 m²,16.000 €,No,None,None,None,sótano -1," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,Baldomer Girona,"Garaje en calle Girona, La Dreta de l'Eixample, Barcelona",11 m²,16.000 €,No,None,None,None,sótano -1," Barcelona",172109,15152.3170731707,80895
2,Eixample,Girona,"Garaje en calle Girona, La Dreta de l'Eixample, Barcelona",11 m²,16.000 €,No,None,None,None,sótano -1," Barcelona",266857,18867.7167630058,128137
5,Sarrià-Sant Gervasi,Pg Manuel Girona,"Garaje en calle Girona, La Dreta de l'Eixample, Barcelona",11 m²,16.000 €,No,None,None,None,sótano -1," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Jordi Girona,"Garaje en calle Girona, La Dreta de l'Eixample, Barcelona",11 m²,16.000 €,No,None,None,None,sótano -1," Barcelona",81074,22022.0350877193,48622
1,Ciutat Vella,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",28 m²,19.900 €,No,None,None,None,sótano," Barcelona",106028,11517.7037037037,33685
2,Eixample,Rda Sant Antoni,"Garaje en Sant Antoni, Barcelona",28 m²,19.900 €,No,None,None,None,sótano," Barcelona",266857,18867.7167630058,128137
3,Sants-Montjuïc,Pg Sant Antoni,"Garaje en Sant Antoni, Barcelona",28 m²,19.900 €,No,None,None,None,sótano," Barcelona",183770,14625.3931623932,79559
6,Gràcia,Trvs Sant Antoni,"Garaje en Sant Antoni, Barcelona",28 m²,19.900 €,No,None,None,None,sótano," Barcelona",121915,18340.7471264368,57643
1,Ciutat Vella,Sant Antoni Abat,"Garaje en Sant Antoni, Barcelona",28 m²,19.900 €,No,None,None,None,sótano," Barcelona",106028,11517.7037037037,33685
