"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"02132","506","505","79","60","581","291","816","58","137","07-05-2023 10:00:04"
"02133","380","464","83","63","404","294","724","32","88","07-05-2023 10:00:04"
"02134","720","777","133","105","851","408","1151","115","231","07-05-2023 10:00:04"
"02135","976","1127","207","179","1316","401","1567","181","355","07-05-2023 10:00:04"
"02136","423","471","76","70","508","240","707","48","139","07-05-2023 10:00:04"
"02137","689","800","117","144","942","286","1040","139","310","07-05-2023 10:00:04"
"02138","911","1035","212","183","1086","465","1518","131","297","07-05-2023 10:00:04"
"02139","782","881","133","116","1096","318","1153","175","335","07-05-2023 10:00:04"
"02140","899","1022","192","158","1141","430","1489","149","283","07-05-2023 10:00:04"
"02141","551","658","126","121","675","287","904","67","238","07-05-2023 10:00:04"
"02142","970","1024","160","204","1250","380","1427","151","416","07-05-2023 10:00:04"
"02143","763","761","147","154","930","293","1080","170","274","07-05-2023 10:00:04"
"02144","701","781","139","139","907","297","1047","162","273","07-05-2023 10:00:04"
"02145","626","630","118","103","784","251","869","112","275","07-05-2023 10:00:04"
"02146","571","669","111","99","741","289","917","103","220","07-05-2023 10:00:04"
"02147","1019","1122","210","203","1279","449","1600","160","381","07-05-2023 10:00:04"
"02148","733","830","144","122","924","373","1164","149","250","07-05-2023 10:00:04"
"02149","916","953","208","176","1141","344","1340","165","364","07-05-2023 10:00:04"
"02150","768","809","132","152","976","317","1064","135","378","07-05-2023 10:00:04"
"02151","702","794","151","125","929","291","1073","141","282","07-05-2023 10:00:04"
"02152","597","671","98","100","676","394","974","100","194","07-05-2023 10:00:04"
"02153","647","745","146","88","800","358","1103","90","199","07-05-2023 10:00:04"
"02154","479","578","91","78","678","210","685","111","261","07-05-2023 10:00:04"
"02155","874","1001","184","164","1072","455","1444","117","314","07-05-2023 10:00:04"
"02156","618","689","117","82","730","378","1051","87","169","07-05-2023 10:00:04"
"02157","590","668","150","112","713","283","933","114","211","07-05-2023 10:00:04"
"02158","801","869","160","110","1001","399","1228","137","305","07-05-2023 10:00:04"
"02159","927","1031","225","152","1173","408","1434","161","363","07-05-2023 10:00:04"
"02160","979","1022","176","165","1218","442","1503","190","308","07-05-2023 10:00:04"
"02161","571","600","110","114","729","218","836","132","203","07-05-2023 10:00:04"
"02162","678","751","133","118","860","318","1020","131","278","07-05-2023 10:00:04"
"02163","869","934","156","186","1076","385","1332","147","324","07-05-2023 10:00:04"
"02164","770","788","130","138","1030","260","986","186","386","07-05-2023 10:00:04"
"02165","817","870","163","114","1086","324","1193","185","309","07-05-2023 10:00:04"
"02166","1016","1106","195","176","1361","390","1462","210","450","07-05-2023 10:00:04"
"02167","1074","1112","225","213","1243","505","1678","170","338","07-05-2023 10:00:04"
"02168","1063","1214","237","157","1434","449","1625","180","472","07-05-2023 10:00:04"
"02169","742","774","134","104","986","292","1128","138","250","07-05-2023 10:00:04"
"02170","736","824","134","155","938","333","1160","130","270","07-05-2023 10:00:04"
"02171","792","834","176","118","971","361","1115","133","378","07-05-2023 10:00:04"
"02172","709","783","153","108","966","265","1070","152","270","07-05-2023 10:00:04"
"02173","719","799","132","127","939","320","1124","136","258","07-05-2023 10:00:04"
"03001","813","910","182","148","976","417","1244","156","323","07-05-2023 10:00:04"
"03002","953","979","191","152","1247","342","1354","198","380","07-05-2023 10:00:04"
"03003","813","860","174","161","1073","265","1069","163","441","07-05-2023 10:00:04"
"03004","710","810","144","134","929","313","1115","121","284","07-05-2023 10:00:04"
"03005","600","620","133","84","736","267","844","113","263","07-05-2023 10:00:04"
"03006","702","689","155","111","933","192","918","160","313","07-05-2023 10:00:04"
"03007","785","854","162","169","993","315","1113","147","379","07-05-2023 10:00:04"
"03008","553","599","121","83","751","197","768","123","261","07-05-2023 10:00:04"
"03009","574","620","108","107","733","246","843","110","241","07-05-2023 10:00:04"
"03010","964","907","167","215","1236","253","1099","193","579","07-05-2023 10:00:04"
"03011","907","872","211","156","1205","207","1022","210","547","07-05-2023 10:00:04"
"03012","991","1071","187","204","1369","302","1259","252","551","07-05-2023 10:00:04"
"03013","896","871","168","175","1231","193","1015","255","497","07-05-2023 10:00:04"
"03014","908","870","175","168","1199","236","1050","212","516","07-05-2023 10:00:04"
"03015","1442","1509","335","281","1910","425","1811","342","798","07-05-2023 10:00:04"
"03016","582","631","126","129","788","170","724","133","356","07-05-2023 10:00:04"
"03017","807","826","166","170","1103","194","918","211","504","07-05-2023 10:00:04"
"03018","870","814","170","153","1037","324","1097","159","428","07-05-2023 10:00:04"
"03019","709","778","166","137","946","238","954","124","409","07-05-2023 10:00:04"
"03020","628","591","108","99","690","322","885","116","218","07-05-2023 10:00:04"
"03021","509","554","97","83","564","319","814","77","172","07-05-2023 10:00:04"
"03022","695","717","147","127","866","272","984","133","295","07-05-2023 10:00:04"
"03023","888","922","216","156","1153","285","1208","181","421","07-05-2023 10:00:04"
"03024","1018","997","219","179","1366","251","1311","274","430","07-05-2023 10:00:04"
"03025","911","869","268","151","1119","242","1426","99","255","07-05-2023 10:00:04"
"03026","488","527","112","89","477","337","863","21","131","07-05-2023 10:00:04"
"03027","838","911","161","260","947","381","1507","57","185","07-05-2023 10:00:04"
"03028","1292","1370","416","342","1511","393","2103","77","482","07-05-2023 10:00:04"
"03029","621","660","145","122","771","243","1124","42","115","07-05-2023 10:00:04"
"03030","724","850","155","147","933","339","1272","74","228","07-05-2023 10:00:04"
"03031","1139","1217","254","239","1235","628","2063","50","243","07-05-2023 10:00:04"
"03032","852","920","286","171","982","333","1395","86","291","07-05-2023 10:00:04"
"03033","723","749","205","153","836","278","1053","37","382","07-05-2023 10:00:04"
"03034","706","789","142","158","848","347","1198","39","258","07-05-2023 10:00:04"
"03035","1123","1201","215","217","1264","628","1916","48","360","07-05-2023 10:00:04"
"03036","1148","1280","282","287","1364","495","1994","99","335","07-05-2023 10:00:04"
"03037","466","516","69","95","619","199","865","21","96","07-05-2023 10:00:04"
"03038","463","492","128","120","498","209","862","20","73","07-05-2023 10:00:04"
"03039","1206","1289","388","276","1424","407","1914","60","521","07-05-2023 10:00:04"
"03040","1065","799","116","508","759","481","1264","62","538","07-05-2023 10:00:04"
"03041","708","764","147","145","878","302","1100","74","298","07-05-2023 10:00:04"
