NOM_CARRER,DISTRICTE,SECC_CENS,BARRI,DPOSTAL
Llebrencs,5,3,22,8017
Llebrencs,5,3,22,8017
A Zona Franca,3,25,12,8040
A Zona Franca,3,25,12,8040
Guerau de Liost,5,3,22,8017
Guerau de Liost,5,3,22,8017
Abat Odó,9,47,60,8030
Abat Odó,9,48,60,8030
Abat Odó,9,47,60,8030
Abat Odó,9,46,60,8030
Abat Samsó,5,12,23,8017
Abat Samsó,5,12,23,8017
Abat Safont,1,4,1,8001
Abat Safont,1,4,1,8001
Abadessa Olzet,4,55,21,8034
Abadessa Olzet,4,56,21,8034
Abadessa Olzet,4,55,21,8034
Abadessa Olzet,4,56,21,8034
Abaixadors,1,46,4,8003
Abaixadors,1,46,4,8003
Abd el-Kader,7,17,33,8024
Abd el-Kader,7,16,33,8024
Abdó Terradas,6,58,31,8012
Abdó Terradas,6,58,31,8012
Abella,8,48,47,8031
Abella,8,48,47,8031
Manuel Ballbé,4,54,21,8034
Manuel Ballbé,4,54,21,8034
Acàcies,9,79,62,8027
Acàcies,9,80,62,8027
Acàcies,9,78,62,8027
Acàcies,9,79,62,8027
Pl Acadèmia,1,54,4,8003
Pl Acadèmia,1,54,4,8003
Sèquia,1,53,4,8003
Sèquia,1,53,4,8003
Sèquia Comtal,10,39,65,8018
Sèquia Comtal,10,39,65,8018
Sèquia Madriguera,9,10,59,8030
Sèquia Madriguera,9,10,59,8030
Acer,3,25,12,8038
Acer,3,25,12,8038
Actor Morano,5,2,22,8017
Actor Morano,5,2,22,8017
Actriu Tubau,5,2,22,8017
Actriu Tubau,5,2,22,8017
Adolf Florensa,4,49,20,8028
Adolf Florensa,4,49,20,8028
Adrall,9,10,59,8030
Adrall,9,9,59,8030
Av Adrià Gual,6,9,28,8035
Av Adrià Gual,6,9,28,8035
Adrià Margarit,5,32,25,8035
Adrià Margarit,5,33,25,8035
Adrià Margarit,5,33,25,8035
Pl Adrià,5,51,26,8021
Pl Adrià,5,50,26,8021
Pl Adrià,5,51,26,8021
Pl Adrià,5,52,26,8021
Pl Adrià,5,50,26,8021
Duana,1,43,4,8003
Duana,1,43,4,8003
Afores,9,21,60,8030
Aglà,1,29,2,8002
Aglà,1,29,2,8002
Agramunt,6,1,28,8023
Agramunt,5,90,27,8023
Agramunt,6,1,28,8023
Agramunt,5,91,27,8023
Agregació,7,44,35,8041
Agregació,7,45,35,8041
Agregació,7,44,35,8041
Agregació,7,45,35,8041
Agregació,7,46,35,8041
Anna Martínez Sagi,7,43,35,8041
Anna Martínez Sagi,7,45,35,8041
Anna Martínez Sagi,7,44,35,8041
Anna Martínez Sagi,7,45,35,8041
Anna Martínez Sagi,7,43,35,8041
Agricultura,10,236,69,8019
Agricultura,10,94,71,8019
Agricultura,10,122,72,8020
Agricultura,10,122,72,8020
Agricultura,10,121,72,8020
Agricultura,10,120,72,8020
Agricultura,10,118,72,8020
Agricultura,10,116,72,8020
Agricultura,10,235,69,8019
Agricultura,10,94,71,8019
Agricultura,10,120,72,8020
Agricultura,10,115,72,8020
Agricultura,10,117,72,8020
Agricultura,10,235,69,8019
Agricultura,10,121,72,8020
Agricultura,10,115,72,8020
Agricultura,10,122,72,8020
Agricultura,10,116,72,8020
Ctra Aigües,4,56,21,8034
Ctra Aigües,5,3,22,8017
Ctra Aigües,5,5,23,8017
Ctra Aigües,5,3,22,8017
Ctra Aigües,7,90,39,8035
Ctra Aigües,6,9,28,8035
Ctra Aigües,4,56,21,8034
Ctra Aigües,5,4,23,8017
Ctra Aigües,5,32,25,8035
Ctra Aigües,5,33,25,8035
Ctra Aigües,5,2,22,8017
Ctra Aigües,5,5,23,8017
Ctra Aigües,6,9,28,8035
Camí Aigües,5,5,23,8017
Camí Aigües,5,5,23,8017
Agudells,7,58,36,8032
Agudells,7,70,37,8032
Agudells,7,66,37,8032
Agudells,7,65,37,8032
Agudells,7,58,36,8032
Agudells,7,70,37,8032
Agudells,7,67,37,8032
Agudells,7,68,37,8032
Agudes,8,113,55,8033
Agudes,8,114,55,8033
Agudes,8,111,55,8033
Agudes,8,113,55,8033
Agudes,8,115,55,8033
Agudes,8,114,55,8033
Agudes,8,110,55,8033
Àliga,3,52,15,8014
Àliga,3,52,15,8014
Aguilar,7,52,36,8032
Aguilar,7,52,36,8032
Aguilar,7,53,36,8032
Agullana,8,48,47,8031
Agullana,8,48,47,8031
Agullers,1,46,4,8003
Agullers,1,46,4,8003
A Duran i Sanpere,1,18,1,8001
A Duran i Sanpere,1,18,1,8001
Agustí i Milà,9,40,60,8030
Agustí i Milà,9,39,60,8030
Agustí i Milà,9,35,60,8030
Agustí i Milà,9,40,60,8030
Agustina Saragossa,4,23,19,8017
Agustina Saragossa,4,23,19,8017
Aiguablava,8,107,53,8033
Aiguablava,8,103,53,8033
Aiguablava,8,107,53,8033
Aiguablava,8,103,53,8042
Aiguafreda,7,120,43,8032
Aiguafreda,7,120,43,8032
Àlaba,10,53,67,8005
Àlaba,10,52,67,8005
Àlaba,10,43,66,8005
Àlaba,10,52,67,8005
Àlaba,10,43,66,8005
Àlaba,10,42,66,8018
Alba,6,59,31,8012
Alba,6,59,31,8012
Albacete,6,36,31,8012
Albacete,6,36,31,8012
Albània,10,82,70,8019
Albània,10,82,70,8019
Albareda,3,20,11,8004
Albareda,3,20,11,8004
Ourense,7,78,37,8032
Ourense,7,78,37,8032
Albert Llanas,7,21,34,8024
Albert Llanas,7,21,34,8024
Albert Llanas,7,22,34,8024
Albert Llanas,7,21,34,8024
Ptge Albert Pinyol,4,1,19,8029
Ptge Albert Pinyol,4,1,19,8029
Albigesos,6,19,30,8024
Albigesos,6,18,30,8024
Albigesos,6,19,30,8024
Albigesos,6,21,30,8024
Alcalá de Guadaira,10,111,72,8020
Alcalá de Guadaira,10,114,72,8020
Alcalá de Guadaira,10,114,72,8020
Pl Alc Baró Viver,4,54,21,8034
Alcalde Miralles,5,3,22,8017
Alcalde Miralles,5,2,22,8017
Alcalde Móstoles,7,2,33,8025
Alcalde Móstoles,7,1,33,8025
Alcalde Móstoles,7,6,33,8025
Alcalde Móstoles,7,7,33,8025
Alcalde de Zalamea,7,66,37,8032
Alcalde de Zalamea,7,65,37,8032
Alcamo,10,83,70,8019
Alcamo,10,83,70,8019
Alcanar,1,38,3,8003
Alcanar,1,38,3,8003
Alcántara,8,72,50,8042
Alcántara,8,65,50,8042
Alcántara,8,71,50,8042
Alcántara,8,70,50,8042
Alcántara,8,69,50,8042
Alcántara,8,65,50,8042
Martí i Franquès,4,49,20,8028
Martí i Franquès,4,49,20,8028
Av Exèrcit,4,53,21,8034
Av Exèrcit,4,53,21,8034
Alcolea,3,105,18,8014
Alcolea,3,108,18,8014
Alcolea,3,109,18,8014
Alcolea,3,110,18,8014
Alcolea,3,105,18,8014
Alcolea,3,108,18,8014
Alcolea,3,109,18,8014
Alcolea,3,110,18,8014
Alcoi,5,32,25,8022
Alcoi,5,31,25,8022
Alcoi,5,32,25,8022
Alcoi,5,31,25,8022
Alcúdia,8,37,45,8016
Alcúdia,8,36,45,8016
Alcúdia,8,34,45,8016
Alcúdia,8,33,45,8016
Alcúdia,8,37,45,8016
Alcúdia,8,36,45,8016
Alcúdia,8,35,45,8016
Alcúdia,8,32,45,8016
Aldana,2,170,10,8015
Aldana,2,170,10,8015
Aldea,6,17,29,8023
Aldea,6,16,29,8023
Aldea,6,16,29,8023
Ca l'Alegre Dalt,6,82,32,8024
Ca l'Alegre Dalt,6,84,32,8024
Ca l'Alegre Dalt,6,86,32,8024
Ca l'Alegre Dalt,6,25,30,8024
Ca l'Alegre Dalt,6,24,30,8024
Ca l'Alegre Dalt,6,88,32,8024
Ca l'Alegre Dalt,6,84,32,8024
Ca l'Alegre Dalt,6,86,32,8024
Ca l'Alegre Dalt,6,25,30,8024
Ca l'Alegre Dalt,6,85,32,8024
Ca l'Alegre Dalt,6,24,30,8024
Ca l'Alegre Dalt,6,85,32,8024
Ca l'Alegre Dalt,6,83,32,8024
Malva,5,1,22,8017
Malva,5,1,22,8017
A de Torrelles,7,24,34,8024
A de Torrelles,7,24,34,8024
Alella,8,20,45,8016
Alella,8,21,45,8016
Alella,8,24,45,8016
Alella,8,21,45,8016
Alella,8,23,45,8016
Alella,8,25,45,8016
Alella,8,23,45,8016
Alfambra,4,53,21,8034
Alfambra,4,53,21,8034
Alfarràs,9,11,59,8030
Alfarràs,9,10,59,8030
Alfons XII,5,69,26,8006
Alfons XII,5,70,26,8006
Alfons XII,5,73,26,8006
Alfons XII,5,75,26,8006
Alfons XII,5,69,26,8006
Alfons XII,5,70,26,8006
Alfons XII,5,75,26,8006
Alfons XII,5,72,26,8006
Alfons XII,5,71,26,8006
Costa i Cuxart,8,10,44,8031
Costa i Cuxart,8,11,44,8031
Costa i Cuxart,8,12,44,8031
Costa i Cuxart,8,13,44,8016
Alfons el Magnànim,10,81,70,8019
Alfons el Magnànim,10,84,70,8019
Alfons el Magnànim,10,85,70,8019
Alfons el Magnànim,10,87,70,8019
Alfons el Magnànim,10,81,70,8019
Alfons el Magnànim,10,83,70,8019
Alfons el Magnànim,10,85,70,8019
Alfons el Magnànim,10,87,70,8019
Alfons el Magnànim,10,82,70,8019
Alfons el Magnànim,10,86,70,8019
Alfons el Magnànim,10,86,70,8019
Alfons el Magnànim,10,82,70,8019
Pl Alfons el Savi,7,17,33,8024
Pl Alfons el Savi,7,1,33,8025
Pl Alfons el Savi,7,17,33,8024
Pl Alfons el Savi,7,16,33,8024
Pl Alfons el Savi,7,18,33,8024
Pl Alfons el Savi,7,16,33,8024
Pl Alfons el Savi,7,7,33,8025
Algarves,5,2,22,8017
Algarves,5,2,22,8017
Alguer,7,63,37,8032
Ptge Violer,5,1,22,8017
Ptge Violer,5,1,22,8017
Alhucemas,8,103,53,8033
Alhucemas,8,103,53,8033
Alí Bei,2,74,7,8010
Alí Bei,2,2,5,8013
Alí Bei,2,3,5,8013
Alí Bei,2,12,5,8013
Alí Bei,2,13,5,8013
Alí Bei,2,74,7,8010
Alí Bei,2,1,5,8010
Alí Bei,2,12,5,8013
Alí Bei,2,13,5,8013
Alí Bei,2,6,5,8010
Ptge Alí Bei,10,42,66,8018
Ptge Alí Bei,10,42,66,8018
Alacant,5,26,24,8017
Alacant,5,48,25,8022
Alacant,5,25,24,8017
Alacant,5,48,25,8022
Alighieri,7,120,43,8032
Alighieri,7,120,43,8032
Ptge Alió,6,68,32,8037
Ptge Alió,6,67,32,8037
Ptge Alió,6,68,32,8037
Ptge Alió,6,67,32,8037
Magatzems,1,41,3,8003
Magatzems,1,41,3,8003
Almagro,8,79,51,8042
Almagro,8,78,51,8042
Almagro,8,73,50,8042
Almagro,8,80,51,8042
Almagro,8,79,51,8042
Almagro,8,78,51,8042
Almagro,8,73,50,8042
Almansa,8,82,51,8042
Almansa,8,81,51,8042
Almansa,8,80,51,8042
Almansa,8,79,51,8042
Almansa,8,78,51,8042
Almansa,8,73,50,8042
Almansa,8,71,50,8042
Almansa,8,76,51,8042
Almansa,8,77,51,8042
Almansa,8,73,50,8042
Almansa,8,71,50,8042
Cro Ànimes,3,84,17,8028
Cro Ànimes,3,83,17,8028
Cro Ànimes,3,84,17,8028
Almassora,9,3,57,8033
Almassora,9,3,57,8033
Almenara Alta,10,26,65,8026
Almenara Alta,10,26,65,8026
Ametllers,4,56,21,8034
Ametllers,4,56,21,8034
Ptge Ametllers,4,56,21,8034
Ptge Ametllers,4,56,21,8034
Almeria,3,102,18,8014
Almeria,3,58,16,8014
Almeria,3,102,18,8014
Almeria,3,60,16,8014
Emília Llorca,1,33,3,8003
Emília Llorca,1,34,3,8003
Emília Llorca,1,32,3,8003
Almirall Barceló,1,35,3,8003
Almirall Barceló,1,35,3,8003
Pepe Rubianes,1,40,3,8003
Pepe Rubianes,1,39,3,8003
Pepe Rubianes,1,38,3,8003
Pepe Rubianes,1,35,3,8003
Pepe Rubianes,1,33,3,8003
Pepe Rubianes,1,34,3,8003
Almirall Okendo,9,15,59,8020
Almirall Okendo,9,15,59,8020
Almirall Pròixida,9,37,60,8030
Almirall Pròixida,9,37,60,8030
Miquel Pedrola,1,39,3,8003
Miquel Pedrola,1,39,3,8003
Almogàvers,1,55,4,8018
Almogàvers,2,1,5,8018
Almogàvers,10,44,66,8018
Almogàvers,10,43,66,8018
Almogàvers,10,42,66,8018
Almogàvers,10,66,68,8018
Almogàvers,10,42,66,8018
Almogàvers,10,66,68,8018
Almogàvers,10,46,66,8018
Almogàvers,10,45,66,8018
Almogàvers,10,44,66,8018
Almogàvers,10,43,66,8018
Almogàvers,10,42,66,8018
Almogàvers,1,55,4,8018
Alonso Cano,8,79,51,8042
Alonso Cano,8,79,51,8042
Ptge Aloi,9,85,63,8041
Ptge Aloi,9,85,63,8041
Alpens,3,57,16,8014
Alpens,3,58,16,8014
Alsàcia,8,54,48,8042
Alsàcia,8,55,48,8042
Alsina,1,28,2,8002
Alsina,1,28,2,8002
Ptge Alt del Turó,7,29,35,8041
Ptge Alt del Turó,7,29,35,8041
Alt,9,2,57,8033
Alt,9,2,57,8033
Pl Alta Can Clos,3,38,13,8038
Pl Alta Can Clos,3,38,13,8038
Alt de Gironella,5,22,24,8017
Alt de Gironella,5,24,24,8017
Alt de Gironella,5,22,24,8017
Alt de Gironella,5,53,26,8017
Alt de Gironella,5,53,26,8017
Alt de Mariner,7,118,43,8032
Alt de Mariner,7,114,43,8032
Alt de Mariner,7,115,43,8032
Ptge Alt Mariner,7,114,43,8032
Ptge Alt Mariner,7,115,43,8032
Alt de Pedrell,7,54,36,8032
Alt de Pedrell,7,53,36,8032
Alt de Pedrell,7,54,36,8032
Alt de Pedrell,7,52,36,8032
Alt de Pedrell,7,52,36,8032
Alt de Pedrell,7,53,36,8032
Alt de Pedrell,7,53,36,8032
Alt de Pedrell,7,52,36,8032
Ctra Alta Roquetes,7,103,43,8035
Ctra Alta Roquetes,8,64,49,8033
Ctra Alta Roquetes,8,108,54,8033
Ctra Alta Roquetes,7,103,43,8035
Ctra Alta Roquetes,8,64,49,8033
Ctra Alta Roquetes,8,65,50,8033
Ctra Alta Roquetes,8,67,50,8033
Ctra Alta Roquetes,8,109,54,8033
Ctra Alta Roquetes,8,61,49,8033
Ctra Alta Roquetes,8,66,50,8033
Sant Pere Més Alt,1,52,4,8003
Sant Pere Més Alt,1,51,4,8003
Sant Pere Més Alt,1,50,4,8003
Altafulla,3,101,18,8014
Altafulla,3,101,18,8014
Alts Forns,3,26,13,8038
Alts Forns,3,29,13,8038
Alts Forns,3,30,13,8038
Alts Forns,3,34,13,8038
Alts Forns,3,34,13,8038
Alts Forns,3,33,13,8038
Alts Forns,3,26,13,8038
Alts Forns,3,30,13,8038
Alts Forns,3,32,13,8038
Alts Forns,3,31,13,8038
Alts Forns,3,211,13,8038
Alts Forns,3,27,13,8038
Alumini,3,26,13,8038
Alumini,3,26,13,8038
Alumini,3,27,13,8038
Alvarado,8,67,50,8042
Alvarado,8,67,50,8042
Pg Agrícola,3,25,12,8038
Pg Agrícola,3,25,12,8038
Allada-Vermell,1,54,4,8003
Allada-Vermell,1,48,4,8003
Alloza,8,25,45,8016
Alloza,8,24,45,8016
Alloza,8,25,45,8016
Amadeu Vives,1,52,4,8003
Amadeu Vives,1,52,4,8003
Rosella,6,9,28,8035
Rosella,6,9,28,8035
Amargós,1,23,2,8002
Amargós,1,23,2,8002
Amargor,10,2,64,8026
Amargor,10,2,64,8026
Amer,8,48,47,8031
Amèrica,7,39,35,8041
Amèrica,7,40,35,8041
Amèrica,7,41,35,8041
Pl Amich,5,7,23,8017
Pl Amich,5,7,23,8017
Amigó,5,61,26,8021
Amigó,5,62,26,8021
Amigó,5,52,26,8021
Amigó,5,65,26,8021
Amigó,5,64,26,8021
Amigó,5,63,26,8021
Amigó,5,51,26,8021
Amics,8,10,44,8031
Amics,8,10,44,8031
Amílcar,8,10,44,8031
Amílcar,8,9,44,8031
Amílcar,7,48,35,8032
Amílcar,7,49,35,8032
Amílcar,7,51,35,8032
Amílcar,7,30,35,8032
Amílcar,8,7,44,8031
Amílcar,8,8,44,8031
Amílcar,7,52,36,8032
Amílcar,7,51,35,8032
Amílcar,7,30,35,8032
Amistat,10,61,68,8005
Amistat,10,60,68,8005
Amistat,10,60,68,8005
Amor,7,102,42,8035
Amor,7,102,42,8035
Joan Obiols,4,53,21,8034
Joan Obiols,4,53,21,8034
Amposta,3,45,14,8004
Amposta,3,42,14,8004
Empordà,10,142,73,8020
Empordà,10,143,73,8020
Empordà,10,140,73,8020
Empordà,10,143,73,8020
Empúries,8,104,53,8033
Empúries,8,104,53,8033
Empúries,8,103,53,8033
Empúries,8,104,53,8033
Anna Piferrer,6,10,28,8023
Anna Piferrer,6,6,28,8023
Pg Anna Rúbies,5,1,22,8017
Pg Anna Rúbies,5,1,22,8017
Ptge Andalet,7,73,37,8032
Andalusia,3,63,16,8014
Andalusia,3,68,16,8014
Andalusia,3,69,16,8014
Andalusia,3,98,18,8014
Andana Estació,9,31,60,8030
Andana Estació,9,31,60,8030
Andana Estació,9,27,60,8030
Andorra,9,43,60,8030
Andorra,9,43,60,8030
Andrade,10,35,65,8018
Andrade,10,107,72,8018
Andrade,10,108,72,8020
Andrade,10,109,72,8020
Andrade,10,121,72,8020
Andrade,10,122,72,8020
Andrade,10,127,73,8020
Andrade,10,125,73,8020
Andrade,10,126,73,8020
Andrade,10,141,73,8020
Andrade,10,142,73,8020
Andrade,10,35,65,8018
Andrade,10,107,72,8018
Andrade,10,106,72,8020
Andrade,10,105,72,8020
Andrade,10,121,72,8020
Andrade,10,122,72,8020
Andrade,10,123,73,8020
Andrade,10,124,73,8020
Andrade,10,125,73,8020
Andrade,10,141,73,8020
Andrade,10,142,73,8020
Andratx,8,37,45,8016
Andratx,8,37,45,8016
Andrea Doria,1,37,3,8003
Andrea Doria,1,36,3,8003
Andrea Doria,1,39,3,8003
Andrea Doria,1,35,3,8003
Andrea Doria,1,36,3,8003
Andrea Doria,1,39,3,8003
Andrea Doria,1,38,3,8003
Andreu Febrer,10,86,70,8019
Andreu Febrer,10,86,70,8019
Ptge Andreví,10,3,64,8026
Ptge Andreví,10,3,64,8026
Andròmeda,8,76,51,8042
Andròmeda,8,76,51,8042
Aneto,8,42,46,8031
Aneto,8,41,46,8031
Aneto,8,42,46,8031
Aneto,8,40,46,8031
Àngel,6,51,31,8012
Àngel,6,51,31,8012
Pas Àngel,6,51,31,8012
Pas Àngel,6,51,31,8012
Pl Àngel,1,25,2,8002
Pl Àngel,1,26,2,8002
Pl Àngel,1,25,2,8002
Àngel J. Baixeras,1,26,2,8002
Àngel J. Baixeras,1,26,2,8002
Àngel Guimerà,5,21,24,8017
Àngel Guimerà,5,22,24,8017
Àngel Guimerà,5,22,24,8017
Àngel Guimerà,5,24,24,8017
Àngel Guimerà,5,24,24,8017
Àngel Marquès,7,95,40,8035
Àngel Marquès,7,94,40,8035
Àngel Marquès,7,94,40,8035
Pl Àngel Pestaña,8,91,52,8016
Àngels,1,20,1,8001
Àngels,1,18,1,8001
Camí Àngels,7,83,38,8035
Camí Àngels,6,15,29,8035
Pl Àngels,1,18,1,8001
Pl Àngels,1,20,1,8001
Pl Àngels,1,18,1,8001
Pl Àngels,1,20,1,8001
Anglesola,4,27,19,8014
Anglesola,4,25,19,8014
Anglesola,4,23,19,8017
Anglesola,4,23,19,8017
Anglí,5,28,24,8017
Anglí,5,8,23,8017
Anglí,5,4,23,8017
Anglí,5,27,24,8017
Anglí,5,29,24,8017
Anglí,5,8,23,8017
Anglí,5,4,23,8017
Anníbal,3,24,11,8004
Anníbal,3,6,11,8004
Anníbal,3,24,11,8004
Anisadeta,1,46,4,8003
Anisadeta,1,46,4,8003
Anselm Turmeda,8,29,45,8016
Anselm Turmeda,8,29,45,8016
Antequera,6,24,30,8024
Antequera,6,22,30,8024
Antequera,6,23,30,8024
Antequera,6,24,30,8024
Antequera,6,22,30,8024
Antic de Bofarull,10,25,64,8026
Antic de Bofarull,10,25,64,8026
Ctra Antiga Horta,2,2,5,8013
Ctra Antiga Horta,2,2,5,8013
Antic de Sant Joan,1,44,4,8003
Antic de Sant Joan,1,43,4,8003
Antic de Sant Joan,1,45,4,8003
Antic de Sant Joan,1,43,4,8003
Antic del Guinardó,7,37,35,8041
Antic del Guinardó,7,37,35,8041
Ptge Antic Valènci,3,24,11,8004
Ptge Antic Valènci,3,24,11,8004
Camí Ant València,10,66,68,8005
Camí Ant València,10,65,68,8005
Camí Ant València,10,69,68,8005
Camí Ant València,10,66,68,8005
Camí Ant València,10,65,68,8005
Camí Ant València,10,70,68,8005
Camí Ant València,10,69,68,8005
Antilles,9,56,61,8027
Antilles,9,60,61,8027
Antilles,9,57,61,8027
Antoni de Capmany,3,70,17,8028
Antoni de Capmany,3,97,18,8028
Antoni de Capmany,3,96,18,8028
Antoni de Capmany,3,69,16,8014
Antoni de Capmany,3,98,18,8014
Antoni de Capmany,3,100,18,8014
Antoni Costa,8,17,44,8016
Antoni Costa,8,19,44,8016
Antoni Costa,8,17,44,8016
Antoni Costa,8,19,44,8016
Ptge Antoni Gassol,10,107,72,8018
Ptge Antoni Gassol,10,107,72,8018
Pl Correus,1,26,2,8002
Pl Correus,1,31,2,8002
Pl Correus,1,31,2,8002
Pl Antoni Maura,1,23,2,8003
Pl Antoni Maura,1,47,4,8003
Antonio Machado,8,61,49,8042
Antonio Machado,8,60,49,8042
Antonio Machado,8,62,49,8042
Antonio Machado,8,65,50,8042
Antonio Machado,8,60,49,8042
Antonio Machado,8,63,49,8042
Antonio Machado,8,64,49,8042
Antonio Machado,8,62,49,8042
Antonio Machado,8,64,49,8042
Francesc Bolòs,8,10,44,8031
Francesc Bolòs,8,10,44,8031
Antonio Ricardos,9,60,61,8027
Antonio Ricardos,9,59,61,8027
Antonio Ricardos,9,60,61,8027
Aragó,2,131,9,8015
Aragó,2,132,9,8015
Aragó,2,135,9,8015
Aragó,2,137,9,8015
Aragó,2,135,9,8015
Aragó,2,137,9,8015
Aragó,2,138,9,8015
Aragó,2,97,8,8011
Aragó,2,98,8,8011
Aragó,2,90,8,8011
Aragó,2,81,7,8007
Aragó,2,80,7,8007
Aragó,2,65,7,8009
Aragó,2,61,7,8009
Aragó,2,51,6,8013
Aragó,2,50,6,8013
Aragó,2,26,6,8013
Aragó,2,25,6,8013
Aragó,2,29,6,8013
Aragó,2,30,6,8013
Aragó,10,26,65,8026
Aragó,10,31,65,8026
Aragó,2,148,9,8015
Aragó,2,147,9,8015
Aragó,2,141,9,8015
Aragó,2,140,9,8015
Aragó,2,97,8,8011
Aragó,2,96,8,8011
Aragó,2,93,8,8011
Aragó,2,92,8,8011
Aragó,2,91,8,8011
Aragó,2,79,7,8007
Aragó,2,78,7,8007
Aragó,2,69,7,8009
Aragó,2,66,7,8009
Aragó,2,18,5,8013
Aragó,2,19,5,8013
Aragó,2,24,6,8013
Aragó,2,23,6,8013
Aragó,10,41,65,8013
Aragó,10,40,65,8026
Aragó,10,39,65,8026
Aragó,10,38,65,8018
Aragó,10,33,65,8018
Aragó,2,139,9,8015
Aragó,2,139,9,8015
Aragó,2,18,5,8013
Aragó,10,18,64,8026
Aragó,2,70,7,8009
Aragó,2,22,6,8013
Ptge Aragó,2,96,8,8011
Ptge Aragó,2,96,8,8011
Arai,1,29,2,8002
Arai,1,29,2,8002
Arbeca,9,11,59,8030
Arbeca,9,9,59,8030
Arbeca,9,11,59,8030
Arbós,7,67,37,8032
Arbós,7,67,37,8032
Arbós,7,66,37,8032
Arbós,7,58,36,8032
Arbúcies,9,43,60,8030
Arbúcies,9,41,60,8030
Arbúcies,9,43,60,8030
Arbúcies,9,41,60,8030
Ptge Arcadia,5,67,26,8006
Volta Bufanalla,1,45,4,8003
Volta Bufanalla,1,45,4,8003
Volta Colomines,1,47,4,8003
Volta Colomines,1,47,4,8003
Volta d'en Dusai,1,45,4,8003
Volta d'en Dusai,1,45,4,8003
Arc de Sant Martí,7,53,36,8032
Arc de Sant Martí,7,52,36,8032
Arc de Sant Martí,7,54,36,8032
Arc de Sant Martí,7,53,36,8032
Arc de Sant Martí,7,52,36,8032
Arc de Sant Martí,7,51,35,8032
Arc de Sant Martí,7,51,35,8032
Ptge Arc St Martí,7,52,36,8032
Ptge Arc St Martí,7,52,36,8032
Volta dels Jueus,1,53,4,8003
Volta dels Jueus,1,53,4,8003
Arc del Mercat,9,42,60,8030
Arc del Mercat,9,42,60,8030
Volta de la Perdiu,1,49,4,8003
Volta de la Perdiu,1,49,4,8003
Volta del Remei,1,28,2,8002
Volta del Remei,1,28,2,8002
Arc de Sant Agustí,1,6,1,8001
Arc de Sant Agustí,1,6,1,8001
Arc Sant Cristòfol,1,49,4,8003
Arc Sant Cristòfol,1,48,4,8003
Arc de Sant Onofre,1,47,4,8003
Arc de Sant Onofre,1,47,4,8003
Arc de Sant Pau,1,4,1,8001
Arc de Sant Pau,1,4,1,8001
Arc S Ramon Call,1,25,2,8002
Arc S Ramon Call,1,25,2,8002
Arc de Sant Sever,10,19,64,8026
Arc de Sant Sever,10,19,64,8026
Arc Sant Silvestre,1,47,4,8003
Arc Sant Silvestre,1,47,4,8003
Arc de Sant Vicenç,1,45,4,8003
Arc de Sant Vicenç,1,45,4,8003
Arc Santa Eulàlia,1,28,2,8002
Arc Santa Eulàlia,1,28,2,8002
Volta Tamborets,1,45,4,8003
Volta Tamborets,1,45,4,8003
Arc del Teatre,1,1,1,8001
Arc del Teatre,1,2,1,8001
Arc del Teatre,1,3,1,8001
Arcs,1,23,2,8002
Arcs,1,23,2,8002
Ardena,4,56,21,8034
Ardena,4,56,21,8034
Ardèvol,9,11,59,8030
Ardèvol,9,11,59,8030
Esquirol Volador,8,56,48,8042
Esquirol Volador,8,57,48,8042
Arenes dels Canvis,1,46,4,8003
Arenes dels Canvis,1,46,4,8003
Arenes Sant Pere,1,50,4,8003
Arenes Sant Pere,1,51,4,8003
Arenys,7,88,38,8035
Arenys,7,87,38,8035
Arenys,7,81,38,8035
Arenys,7,84,38,8035
Arenys,7,87,38,8035
Arenys,7,86,38,8035
Arenys,7,85,38,8035
Ptge Arenys,7,85,38,8035
Ptge Arenys,7,86,38,8035
Argensola,8,73,50,8042
Argensola,8,74,50,8042
Castell Argençola,8,109,54,8033
Castell Argençola,8,109,54,8033
Argenter,1,50,4,8003
Argenter,1,51,4,8003
Argentera,6,4,28,8023
Argentera,6,4,28,8023
Argentera,6,6,28,8023
Pg Argentinita,5,1,22,8017
Pg Argentinita,5,1,22,8017
Argentona,6,30,31,8024
Argentona,6,30,31,8024
Argimon,7,72,37,8032
Argimon,7,72,37,8032
Argullós,8,93,52,8016
Argullós,8,91,52,8016
Argullós,8,87,52,8016
Argullós,8,95,52,8016
Argullós,8,94,52,8016
Argullós,8,91,52,8016
Argullós,8,90,52,8016
Argullós,8,88,52,8016
Argullós,8,90,52,8016
Argullós,8,92,52,8016
Argullós,8,93,52,8016
Argullós,8,88,52,8016
Ptge Argullós,8,93,52,8016
Ptge Argullós,8,93,52,8016
Aribau,2,92,8,8011
Aribau,2,90,8,8011
Aribau,2,88,8,8036
Aribau,2,87,8,8036
Aribau,2,86,8,8036
Aribau,5,66,26,8021
Aribau,5,70,26,8021
Aribau,5,72,26,8021
Aribau,2,91,8,8011
Aribau,2,90,8,8011
Aribau,2,89,8,8011
Aribau,2,88,8,8036
Aribau,2,84,8,8036
Aribau,2,88,8,8036
Aribau,2,85,8,8036
Aribau,5,67,26,8006
Aribau,5,69,26,8006
Aribau,5,70,26,8006
Aribau,5,72,26,8006
Aribau,5,73,26,8006
Aribau,2,89,8,8036
Aribau,5,74,26,8021
Aribau,2,84,8,8036
Arimon,5,41,25,8022
Arimon,5,40,25,8022
Arimon,5,43,25,8022
